"X","name","essround","proddate","cntry","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","T_EUandUN","T_DOMEST","T_PATRIOT","V_EXCITE","V_MATERIA","V_AUTONOM","V_RELIGION","V_GROUP","IT_FREQ","IT_TIME"
1807,"ESS9e03_1",9,"17.02.2021","BG",5,300,0,2,0,6,6,3,2,5,5,3,6,6,55,NA,3,4,2,5,3,4,3,1,2,4,3,3,4,4,2,3,2,4,3,4,4.75,0,3.5,4.16666666666667,3.5,4.71428571428571,2.875,4.35714285714286,10.5,300
1808,"ESS9e03_1",9,"17.02.2021","BG",1,NA,5,5,3,NA,NA,2,5,10,5,2,5,7,1,NA,3,5,3,3,3,NA,NA,4,NA,NA,NA,NA,NA,NA,2,2,4,2,4,5,4,4,7.5,2.5,3.5,4.2,2.375,5.25,NA,NA
1809,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,0,0,0,0,NA,NA,0,NA,2,5,5,NA,NA,4,5,4,4,4,5,5,5,5,4,4,5,3,5,2,3,3,3,3,4,0,0,0,2.83333333333333,2.83333333333333,3.33333333333333,3.125,4.07142857142857,NA,NA
1810,"ESS9e03_1",9,"17.02.2021","BG",1,NA,2,4,3,NA,NA,NA,NA,9,NA,7,4,2,1,NA,5,5,2,2,2,2,5,2,5,4,NA,3,3,5,2,3,2,3,2,5,2,2.5,6.5,2.5,4.16666666666667,4.16666666666667,5.625,5,NA,NA
1811,"ESS9e03_1",9,"17.02.2021","BG",1,NA,4,4,1,2,NA,NA,NA,9,7,5,7,7,2,NA,6,6,4,NA,2,3,3,1,6,4,3,3,4,6,NA,6,2,NA,2,6,4.66666666666667,2.5,6.5,1.5,3,4.5,3.125,3.5,NA,NA
1812,"ESS9e03_1",9,"17.02.2021","BG",1,NA,1,3,1,1,NA,NA,NA,10,NA,9,3,1,2,NA,6,6,2,2,1,1,NA,1,6,6,2,NA,1,6,1,NA,2,NA,1,6,3,1,6.5,1.5,3.5,4.3,6.875,6.1,NA,NA
1813,"ESS9e03_1",9,"17.02.2021","BG",1,NA,3,2,2,3,3,2,8,8,5,1,5,7,1,NA,2,5,1,1,4,6,3,5,4,3,2,2,1,3,4,4,1,2,3,5,4.2,2.5,5,3.5,4.83333333333333,4.57142857142857,2.375,4.64285714285714,NA,NA
1814,"ESS9e03_1",9,"17.02.2021","BG",5,120,0,3,0,0,0,5,5,10,0,3,7,3,55,NA,2,5,2,2,2,1,2,2,3,2,2,3,2,2,1,5,2,2,3,2,1.25,0,6.5,5.16666666666667,4.16666666666667,5,3.375,5.35714285714286,10.5,120
1815,"ESS9e03_1",9,"17.02.2021","BG",1,NA,3,3,3,3,3,2,8,10,7,6,4,7,1,NA,5,5,3,3,3,2,2,2,2,2,2,2,2,3,2,4,3,3,2,3,4.6,3,6.5,4.83333333333333,4.16666666666667,4.71428571428571,4.125,4.92857142857143,NA,NA
1816,"ESS9e03_1",9,"17.02.2021","BG",3,NA,2,3,2,1,1,3,4,7,5,4,5,5,1,NA,4,5,2,2,2,3,3,4,3,2,2,3,3,4,2,3,2,3,2,3,2.6,2,5,4.16666666666667,4.16666666666667,4.57142857142857,3.875,4.92857142857143,7.5,NA
