"","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun"
"80",5,90,6,8,4,5,5,1,8,9,9,6,7,7,1,NA,3,5,2,4,3,4,3,3,4,2,2,4,2,4,4,4,2,2,3,2
"81",1,NA,6,8,4,NA,NA,2,NA,5,3,8,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1,NA,6,5,5,5,5,2,4,6,6,5,7,1,1,NA,4,5,1,5,2,2,2,3,4,2,2,5,2,6,1,3,1,2,1,4
"83",5,300,5,7,7,6,8,2,5,5,5,0,7,7,1,NA,3,4,3,2,3,5,2,1,2,1,3,2,3,4,4,4,2,2,2,2
"84",1,NA,5,7,5,6,4,2,6,8,8,8,7,1,1,NA,2,4,2,2,3,3,2,5,5,2,2,2,5,5,2,2,2,2,2,5
"85",5,630,3,5,0,0,4,1,5,8,6,1,7,7,1,NA,2,4,1,3,2,4,2,1,1,1,1,3,2,5,2,3,2,3,2,3
"86",5,300,5,5,5,5,5,2,6,8,6,5,7,7,1,NA,2,2,2,2,2,2,2,2,5,2,2,2,3,3,3,2,3,2,2,2
"87",5,480,0,0,6,5,5,2,2,8,6,4,6,7,1,NA,2,4,3,3,2,2,2,3,4,2,2,3,2,3,2,2,2,2,2,2
"88",5,480,5,6,2,3,3,1,7,7,7,1,7,7,1,NA,2,5,2,5,2,5,1,2,1,1,1,5,5,1,2,2,1,2,2,1
"89",2,NA,4,6,3,3,3,3,3,8,8,9,3,1,1,NA,1,5,1,5,2,2,1,2,1,2,1,5,1,3,3,3,2,3,3,1
"90",5,210,9,10,6,10,10,1,6,6,7,10,4,1,1,NA,2,5,2,2,2,2,2,4,4,1,2,3,1,6,4,3,2,1,1,2
"91",5,150,7,6,5,7,7,1,9,9,8,7,5,3,1,NA,4,5,2,3,3,4,1,2,2,2,1,2,3,3,3,3,1,1,2,2
"92",5,120,3,6,4,8,8,2,7,8,8,0,7,7,1,NA,2,3,2,3,3,3,2,3,2,3,2,2,2,3,2,3,3,3,2,3
"93",5,120,6,8,5,5,5,1,7,5,0,3,7,7,1,NA,1,4,2,2,1,4,2,2,1,1,1,3,1,6,2,3,1,2,1,1
"94",5,360,5,7,6,6,6,1,5,5,5,1,7,7,1,NA,2,4,5,3,2,3,2,2,2,2,2,2,2,4,3,2,1,3,3,2
"95",3,NA,2,2,0,0,5,1,8,7,5,4,7,7,1,NA,2,4,3,4,3,6,2,2,3,2,2,3,2,3,4,4,2,2,2,2
"96",1,NA,5,5,5,5,7,2,5,8,4,5,7,7,1,NA,5,5,3,5,5,2,2,2,4,2,3,3,2,5,2,5,2,2,4,4
"97",5,270,5,4,4,4,6,2,7,3,2,7,7,7,1,NA,3,2,3,2,4,4,5,3,2,1,2,2,4,1,5,1,1,4,2,2
"98",1,NA,5,7,6,6,6,3,8,7,7,9,6,1,1,NA,2,3,2,5,2,2,4,2,3,2,6,3,2,3,2,3,2,6,2,2
"99",5,120,4,7,6,3,3,1,3,3,3,0,7,7,33,NA,4,5,2,4,3,2,2,2,4,2,2,4,2,5,2,5,2,2,4,3
"100",5,45,5,7,5,5,5,4,7,8,8,9,7,1,1,NA,2,4,1,2,1,1,1,1,4,2,2,2,1,6,1,4,1,1,1,1
"101",1,NA,6,8,6,7,6,1,7,10,8,8,7,6,1,NA,3,6,3,3,2,3,2,2,1,2,2,3,1,4,2,2,2,3,1,1
"102",5,720,8,7,6,7,7,1,7,4,8,3,7,7,1,NA,3,3,4,5,2,5,5,5,2,2,3,2,3,5,3,2,2,2,2,3
"103",5,120,0,8,0,0,7,2,8,8,2,7,6,4,1,NA,4,3,2,2,2,2,2,2,3,4,2,3,2,5,2,3,2,3,2,3
"104",5,120,8,8,8,8,8,2,8,8,8,5,6,7,1,NA,2,3,1,2,2,5,2,4,1,1,1,2,1,4,2,3,1,1,3,1
"105",5,60,5,8,3,3,3,2,5,8,3,6,6,3,1,NA,2,4,2,4,2,4,2,1,2,2,2,5,1,5,2,5,2,1,2,2
"106",5,75,8,8,7,7,7,2,6,8,7,7,7,7,1,NA,3,4,3,4,3,3,3,2,3,2,2,4,2,5,2,3,2,3,2,2
"107",5,360,10,10,9,10,NA,2,5,4,4,8,4,1,1,NA,2,5,2,4,2,3,3,3,3,3,3,4,3,3,3,4,1,1,2,3
"108",5,180,5,8,3,2,7,1,2,9,7,7,7,7,2,NA,2,3,2,2,2,2,2,3,2,2,2,2,2,4,2,3,2,2,2,2
"109",3,NA,2,5,2,2,2,2,5,2,2,5,6,6,55,NA,2,5,2,4,2,3,4,3,4,3,2,5,4,5,3,5,2,4,2,4
"110",5,600,7,6,8,8,5,1,5,10,9,3,7,7,1,NA,2,5,3,2,5,3,2,2,3,4,2,2,3,4,2,3,2,2,2,3
"111",5,90,2,9,7,7,8,4,9,9,8,10,7,1,1,NA,3,6,1,2,2,1,2,2,2,2,1,3,3,4,3,4,2,2,1,2
"112",1,NA,7,8,8,6,7,2,7,7,5,8,4,4,1,NA,4,5,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
"113",5,300,7,5,5,7,8,1,5,8,8,7,5,7,1,NA,2,5,2,5,3,3,2,2,4,2,2,4,2,4,4,4,2,1,3,2
"114",1,NA,1,8,2,2,2,2,5,8,7,2,7,6,1,NA,3,5,2,4,2,4,2,3,2,2,2,4,2,2,3,2,2,2,2,3
"115",2,NA,4,5,0,5,8,1,8,7,6,0,7,7,1,NA,2,5,2,5,2,2,2,2,5,2,2,5,2,5,2,5,2,2,2,2
"116",5,180,6,8,6,6,8,1,2,8,6,2,7,7,1,NA,2,4,1,5,1,1,2,1,3,1,1,2,1,4,1,3,1,1,2,2
"117",3,NA,5,7,3,5,5,1,5,6,6,0,7,7,1,NA,4,4,3,3,2,3,NA,2,4,4,3,3,3,4,3,3,2,2,3,4
"118",3,NA,3,5,5,4,4,5,5,7,5,10,4,1,1,NA,2,3,3,3,2,3,3,2,3,3,3,4,2,3,3,3,2,2,2,2
"119",4,90,5,6,4,6,6,2,6,6,6,7,6,1,1,NA,3,4,2,1,2,2,2,2,3,1,1,1,3,4,3,3,2,2,2,4
"120",5,60,4,2,2,0,1,1,1,8,8,8,7,6,1,NA,2,6,1,5,2,2,1,2,2,2,1,6,3,4,3,4,1,1,4,3
"121",4,150,0,4,1,0,0,2,3,8,5,7,6,1,1,NA,2,3,2,2,2,4,2,2,2,2,2,2,4,4,2,5,2,2,2,2
"122",5,360,7,8,5,7,7,1,10,6,6,0,7,7,1,NA,2,4,1,3,5,5,2,4,1,2,2,3,3,3,3,3,2,1,3,2
"123",5,210,7,7,4,5,8,1,7,8,7,1,7,7,1,NA,4,3,1,1,3,2,2,2,1,1,1,1,2,4,3,3,1,3,2,2
"124",2,NA,2,6,3,3,3,2,5,6,5,6,7,7,1,NA,2,5,2,2,2,4,5,2,5,5,2,2,5,6,2,2,2,2,2,4
"125",5,180,7,7,5,7,9,1,9,5,7,0,7,7,1,NA,4,5,2,6,3,4,2,2,3,2,2,5,5,4,2,4,2,2,2,4
"126",5,240,NA,5,0,NA,NA,1,NA,5,5,0,7,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,2,2,NA,NA,NA,2,NA,2,2,2,2
"127",5,180,4,7,2,NA,NA,1,NA,7,5,4,7,7,55,NA,3,5,3,4,2,5,3,2,3,4,2,4,3,5,3,4,2,2,4,5
"128",1,NA,7,10,5,NA,7,1,8,10,10,7,7,7,1,NA,2,6,1,3,3,2,2,2,2,1,1,3,2,6,2,3,1,1,1,2
"129",5,120,5,7,4,4,3,1,7,6,5,7,5,4,1,NA,2,4,2,2,2,3,2,3,5,1,1,3,2,4,2,3,1,2,2,3
"130",5,360,7,7,5,6,6,2,4,7,6,1,7,7,NA,NA,3,5,2,3,4,3,2,3,4,2,2,3,3,3,3,4,2,3,3,2
